spA,spB,species_status_NG,popphyl,taxonomy1,taxonomy2,habitat,propagule_size,longevity,sxB_avg,sxB_std,ss_avg,ss_std,Wald_avg,Wald_std,piA_avg,piA_std,piB_avg,piB_std,thetaA_avg,thetaA_std,thetaB_avg,thetaB_std,DtajA_avg,DtajA_std,DtajB_avg,DtajB_std,divAB_avg,divAB_std,netdivAB_avg,netdivAB_std,FST_avg,FST_std,corr_pi,pSIv1_MHetero_NHetero,pSIv2_Mhetero_Nhetero,pIMHomov1_Mhetero_Nhetero,pIMHomov2_Mhetero_Nhetero,pIMHeterov1_Mhetero_Nhetero,pIMHeterov2_Mhetero_Nhetero,pAMHomov1_Mhetero_Nhetero,pAMHomov2_Mhetero_Nhetero,pAMHeterov1_Mhetero_Nhetero,pAMHeterov2_Mhetero_Nhetero,pSCHomov1_Mhetero_Nhetero,pSCHomov2_Mhetero_Nhetero,pSCHeterov1_Mhetero_Nhetero,pSCHeterov2_Mhetero_Nhetero,pPanmixiav1_Mhetero_Nhetero,pPanmixiav2_Mhetero_Nhetero,Pongoing_migration_Mhetero_Nhetero,pSIv1_MHetero_NHomo,pIMHomov1_Mhetero_Nhomo,pIMHeterov1_Mhetero_Nhomo,pAMHomov1_Mhetero_Nhomo,pAMHeterov1_Mhetero_Nhomo,pSCHomov1_Mhetero_Nhomo,pSCHeterov1_Mhetero_Nhomo,pPanmixiav1_Mhetero_Nhomo,Pongoing_migration_Mhetero_Nhomo,pSIv1_MHomo_NHetero,pSIv2_Mhomo_Nhetero,pIMHomov1_Mhomo_Nhetero,pIMHomov2_Mhomo_Nhetero,pAMHomov1_Mhomo_Nhetero,pAMHomov2_Mhomo_Nhetero,pSCHomov1_Mhomo_Nhetero,pSCHomov2_Mhomo_Nhetero,pPanmixiav1_Mhomo_Nhetero,pPanmixiav2_Mhomo_Nhetero,Pongoing_migration_Mhomo_Nhetero,pSIv1_MHomo_NHomo,pIMHomov1_Mhomo_Nhomo,pAMHomov1_Mhomo_Nhomo,pSCHomov1_Mhomo_Nhomo,pPanmixiav1_Mhomo_Nhomo,Pongoing_migration_Mhomo_Nhomo
Gorilla_eastern,gorilla_western,1,0,vertebrate,mammalia,continental,NA,NA,4.077000,2.499000,0.538000,0.877000,-9.000000,0.000000,0.000940,0.001146,0.001456,0.000948,0.000846,0.000914,0.001424,0.000738,0.081298,0.970329,0.037812,0.965635,0.002025,0.001328,0.000827,0.001098,0.165992,0.409193,-0.472927,0.00021,0.0014,0.05852,0.3569,0.02089,0.08411,0.00165,0.00453,6.00E-004,0.0025,0.05318,0.3216,0.01687,0.0743,0.00059,0.00216,0.98912,0.003,0.43376,0.06097,0.01004,0.00275,0.42933,0.0593,0.00085,0.98421,0.00018,0.00305,0.03937,0.45502,0.00018,0.00997,0.00211,0.48834,0.00056,0.00121,0.98661,0.00085,0.78839,0.03538,0.17008,0.0053,0.96377
Hippocampus_guttulatusCRO,Hippocampus_guttulatusTHA,0,1,vertebrate,teleostei,marine,1.2,7,0.933000,0.857000,0.793000,0.955000,-9.000000,0.000000,0.005567,0.005565,0.006729,0.005217,0.005484,0.005325,0.006890,0.005321,0.036674,0.918169,-0.153202,0.819904,0.006839,0.004658,0.000691,0.003174,0.056988,0.182581,0.247516,5.00E-004,5.00E-005,0.42309,0.01865,0.00573,0.00122,0.00179,0.00012,0.00017,6.00E-005,0.30366,0.01674,0.00498,0.00106,0.21597,0.0062,0.9973,0.00062,0.40602,0.00454,0.00205,0.00026,0.30378,0.00463,0.2781,0.99707,8.00E-005,8.00E-005,0.21349,0.10564,8.00E-005,0.0279,0.54302,0.10744,0.00113,0.00112,0.97184,1.00E-004,0.28715,0.00032,0.60206,0.11037,0.99958
Hippocampus_guttulatusPOR,Hippocampus_guttulatusCRO,0,1,vertebrate,teleostei,marine,1.2,7,0.537000,0.790000,0.691000,1.019000,-9.000000,0.000000,0.008977,0.008728,0.004551,0.005644,0.009268,0.009263,0.004453,0.005249,-0.115019,0.864062,0.066445,0.851114,0.010845,0.010989,0.004081,0.007997,0.149524,0.238004,-0.209127,3.00E-005,0.00025,0.47111,0.03017,0.04423,0.00684,0.00144,0.00058,0.00013,0.00043,0.33695,0.03006,0.03295,0.00572,0.02658,0.01254,0.99715,1.00E-005,0.46156,0.06779,0.00059,4.00E-005,0.41044,0.05621,0.00335,0.99935,0.03689,0.02321,0.11848,0.09887,0.04562,0.01784,0.50288,0.15569,0.00026,0.00026,0.87644,0.00198,0.21262,0.01325,0.74706,0.0251,0.98478
Hippocampus_guttulatusPOR,Hippocampus_guttulatusTHA,0,1,vertebrate,teleostei,marine,1.2,7,0.641000,0.814000,0.692000,0.995000,-9.000000,0.000000,0.009758,0.010413,0.006492,0.007437,0.009936,0.010979,0.006573,0.007653,0.008447,0.915987,-0.076318,0.723485,0.011936,0.012377,0.003810,0.009031,0.127429,0.234983,0.055974,2.00E-005,0.00011,0.38463,0.15519,0.0181,0.01171,0.00033,0.00038,4.00E-005,0.00019,0.27682,0.12643,0.01489,0.00973,0.00105,0.00039,0.99894,4.00E-005,0.49478,0.04846,0.00084,6.00E-005,0.39559,0.04332,0.01691,0.99906,0.00014,0.00267,0.37897,0.24585,0.00161,0.01014,0.12863,0.2317,0.00014,0.00014,0.98543,0.00047,0.59178,0.02435,0.35283,0.03057,0.97518
Hippocampus_hippocampus,Hippocampus_guttulatusTHA,1,1,vertebrate,teleostei,marine,1.2,7,0.276000,0.619000,0.004000,0.061000,-8.676000,2.295000,0.004818,0.006523,0.001534,0.003844,0.004912,0.006544,0.001565,0.003965,-0.097598,0.591990,-0.018604,0.435603,0.050298,0.082988,0.047122,0.083145,0.856305,0.168972,-0.044277,0.00199,0.04206,4.00E-005,3.00E-005,0.00915,0.00838,0.33532,0.17195,0.27903,0.13266,9.00E-005,0.00015,0.00727,0.01184,2.00E-005,2.00E-005,0.03699,0.00341,0.00022,0.0064,0.66311,0.3165,0.00042,0.00994,0,0.01698,0.00018,0.09611,0.00018,0.00018,0.46556,0.43705,0.00018,0.00018,0.00019,0.00018,0.00109,0.00237,0.00016,0.97717,0.02015,0.00016,0.02047
Lepus_granatensisESP,Lepus_granatensisPOR,0,1,vertebrate,mammalia,continental,31.6,18,1.222000,1.509000,1.483000,1.642000,-9.000000,0.000000,0.010127,0.008964,0.010294,0.008764,0.009997,0.008415,0.010377,0.008965,0.029202,0.872054,-0.046219,0.802569,0.010331,0.008217,0.000120,0.003066,0.000990,0.121290,0.588558,0.00249,0.00047,0.05712,0.01097,0.00193,0.00048,0.00192,0.00036,0.00422,0.00068,0.04548,0.00835,0.00204,0.00042,0.76589,0.09717,0.98985,0.0022,0.05124,0.0016,0.00156,0.003,0.04098,0.00159,0.89781,0.99322,2.00E-004,0.00019,0.2458,0.02347,0.00489,2.00E-004,0.11147,0.02288,0.47896,0.11195,0.99453,0.00117,0.25287,0.00264,0.0953,0.64802,0.99619
Lineus_longissimus,Lineus_lacteus,1,1,invertebrate,nemertea,marine,0.02,NA,4.054964,6.274072,0.126118,0.459191,5.731572,17.822619,0.018754,0.018515,0.019338,0.020615,0.018930,0.018540,0.019367,0.020267,-0.084610,0.664714,-0.064268,0.682260,0.327674,0.104070,0.308628,0.101763,0.901713,0.073299,0.182940,0.0243,0.10382,0,0,7.00E-005,0.00018,0.0731,0.28159,0.10982,0.40622,1.00E-005,3.00E-005,0.00018,0.00068,0,0,0.00115,0.5221,0,0.00078,0.19095,0.28199,0.00027,0.00391,0,0.00496,0.01264,0.28529,1.00E-004,1.00E-004,0.01459,0.68687,1.00E-004,1.00E-004,1.00E-004,1.00E-004,6.00E-004,0.83947,4.00E-005,0.16039,4.00E-005,4.00E-005,0.00012
lissotriton_vulgaris_kosswigi,lissotriton_vulgaris_vulgaris,0.5,0,vertebrate,amphibia,continental,NA,NA,15.000000,8.851000,1.571000,3.309000,-0.143000,11.697000,0.010511,0.005786,0.009503,0.005630,0.010597,0.005507,0.010801,0.004273,-0.080797,0.875346,-0.681911,1.187309,0.030823,0.011306,0.020816,0.010768,0.478079,0.183474,0.721443,0.00092,0.02499,0.00094,0.00333,0.03997,0.21025,0.04846,0.27076,0.02339,0.17583,0.00096,0.00359,0.03045,0.16612,2.00E-005,3.00E-005,0.45566,0.0084,0.00402,0.38278,0.20394,0.10101,0.00431,0.29554,1.00E-005,0.68666,0.00026,0.06114,0.00136,0.00081,0.39005,0.53693,0.00096,0.00798,0.00026,0.00026,0.01163,0.00169,0.00265,0.97427,0.02123,0.00016,0.02404
Lutzomyia_intermedia,Lutzomyia_whitmani,1,0,invertebrate,insecta,continental,NA,NA,4.600000,3.921000,1.800000,3.393000,-9.000000,0.000000,0.017102,0.009985,0.019389,0.018231,0.024547,0.013701,0.027042,0.015695,-0.874147,0.754441,-0.948066,0.719965,0.031369,0.021605,0.013124,0.011826,0.188057,0.243091,0.778707,0.05629,0.12529,5.00E-005,1.00E-004,0.01085,0.03357,0.09174,0.24996,0.10288,0.26187,0.00068,0.00046,0.01852,0.04772,1.00E-005,1.00E-005,0.11197,0.18682,0.00015,0.07353,0.31165,0.31334,0.00129,0.1132,1.00E-005,0.18818,0.11998,0.16077,0.00026,0.00039,0.31338,0.40375,0.00026,0.00071,0.00026,0.00026,0.00214,0.23906,0.00023,0.75688,0.0036,0.00023,0.00406
macaca_mulatta,macaca_fascicularis,1,0,vertebrate,mammalia,continental,31.1,40,11.062000,11.162000,7.875000,13.129000,-9.000000,0.000000,0.009226,0.013232,0.012174,0.014468,0.008989,0.012562,0.011491,0.013525,0.286820,0.992340,0.079505,0.933926,0.012718,0.013949,0.002019,0.001796,0.141453,0.177979,0.947686,0,0.00615,0,0.00614,5.00E-005,0.48447,1.00E-005,0.11232,1.00E-005,0.0457,0,0.00442,1.00E-004,0.34064,0,0,0.83582,0.00075,0.00676,0.3187,0.02517,0.01411,0.01621,0.61801,0.00029,0.95997,0.00011,0.00819,0.00011,0.04794,0.00011,0.8797,0.00011,0.06292,0.00011,0.00069,0.11188,0.00049,0.13444,0.14914,0.71314,0.0028,0.85038
malurus_melanocephalus_TE,malurus_melanocephalus_CY,0,0,vertebrate,sauropsida,continental,NA,NA,17.735000,10.737000,9.382000,7.418000,-9.000000,0.000000,0.011902,0.006917,0.012176,0.007274,0.013072,0.007332,0.016494,0.008565,-0.418618,0.762176,-0.877259,0.896928,0.012790,0.006541,0.000751,0.001428,0.025396,0.127927,0.766507,0,0.00038,0,0.00167,0.00021,0.51226,1.00E-005,0.04276,2.00E-005,0.05498,0,0.00197,0.00019,0.38555,0,0,0.90185,0.00069,0.00108,0.25747,0.01905,0.0324,0.00454,0.68442,0.00034,0.94785,0.00022,0.00049,8.00E-005,0.02373,0.00117,0.91857,0.00022,0.05541,6.00E-005,6.00E-005,0.07956,0.03676,0.0497,0.52955,0.38326,0.00073,0.43369
Melitaea_cinxiaEUR,Melitaea_cinxiaMAR,0,1,invertebrate,insecta,continental,0.0556,1,1.764000,2.208000,0.301000,1.609000,-8.662000,2.405000,0.022125,0.017415,0.013650,0.014898,0.022161,0.017315,0.013537,0.014323,-0.010369,0.801824,-0.020534,0.787941,0.039353,0.023286,0.021465,0.020393,0.389836,0.266935,0.128743,0.03567,0.00617,0.00045,0.00026,0.01408,0.00769,0.36073,0.25744,0.21662,0.07713,7.00E-004,0.00069,0.01657,0.0058,1.00E-005,1.00E-005,0.04626,0.07333,0.00097,0.07091,0.47829,0.30864,0.0016,0.06617,9.00E-005,0.13974,0.05748,0.0105,5.00E-004,2.00E-004,0.56953,0.35393,2.00E-004,0.00727,2.00E-004,2.00E-004,0.00857,0.20866,0.00066,0.78989,0.00069,1.00E-004,0.00145
Melitaea_cinxia,Mellicta_athalia,1,1,invertebrate,insecta,continental,0.06,1,3.813000,4.167000,0.115000,0.350000,-1.049000,10.450000,0.018177,0.017450,0.026294,0.021508,0.018272,0.017390,0.026530,0.021491,-0.035792,0.745760,-0.072835,0.757356,0.138161,0.077777,0.115925,0.075997,0.739986,0.161594,0.238537,0.00562,0.00428,0,0,1.00E-005,2.00E-005,0.41362,0.26364,0.23875,0.07377,0.00022,0,2.00E-005,4.00E-005,0,0,0.00031,0.00542,0,0.00049,0.53661,0.4568,2.00E-005,0.00067,0,0.00118,0.01229,0.00547,3.00E-005,3.00E-005,0.86467,0.11739,3.00E-005,3.00E-005,3.00E-005,3.00E-005,0.00018,0.04619,1.00E-005,0.95378,1.00E-005,1.00E-005,3.00E-005
Messor_barbarus,Messor_structor,1,1,invertebrate,insecta,continental,1.5,20,2.507000,2.776000,0.035000,0.198000,-3.876000,9.011000,0.007009,0.007761,0.010017,0.009233,0.006690,0.007503,0.008264,0.007709,0.349776,0.897652,1.491183,0.802248,0.053969,0.076621,0.045456,0.076508,0.703487,0.183563,0.018538,0.00775,0.00169,0,0,9.00E-005,6.00E-004,0.6759,0.06578,0.23487,0.0128,0,1.00E-005,6.00E-005,0.00044,0,0,0.0012,0.0052,3.00E-005,0.00329,0.30991,0.67564,2.00E-005,0.00592,0,0.00926,0.00231,0.00964,0.00012,0.00012,0.97114,0.01621,0.00012,0.00012,0.00012,0.00012,0.00072,8.00E-004,0,0.98675,0.01245,0,0.01245
Mus_domesticus,Mus_musculus,0.5,1,vertebrate,mammalia,continental,6.06,4,6.386000,6.355000,1.035000,2.679000,-5.421000,7.826000,0.002464,0.002349,0.003090,0.003033,0.002562,0.002218,0.003275,0.002813,-0.261942,1.016313,-0.352215,1.123174,0.010455,0.004865,0.007678,0.005262,0.559665,0.278781,0.389155,1.00E-005,7.00E-004,2.00E-004,0.00381,0.02155,0.22869,4.00E-005,0.00081,4.00E-005,0.00119,0.0088,0.11812,0.05214,0.5639,0,0,0.99721,0.00508,0.00104,0.10735,0.00559,0.00846,0.15173,0.72074,0,0.98086,0.12624,0.20636,0.00036,0.06105,0.08732,0.46964,0.00035,0.04797,0.00036,0.00036,0.11045,0.48217,0.07137,0.30907,0.13328,0.00411,0.20876
Mytilus_galloprovincialisATL,Mytilus_galloprovincialisMED,0,1,invertebrate,mollusca,marine,0.01,25,2.554000,2.807000,2.209000,3.096000,-8.898000,1.311000,0.040222,0.030065,0.036783,0.030833,0.040775,0.029854,0.036848,0.030816,-0.163639,0.745190,-0.004791,0.851847,0.042661,0.028767,0.004159,0.015133,0.052202,0.152580,0.460850,0.00219,0.03588,0.00231,0.02316,0.08799,0.4035,0.00364,0.06684,0.00426,0.04919,0.00152,0.01584,0.04875,0.25474,0.00015,4.00E-005,0.838,0.01886,0.00811,0.56637,0.02815,0.0421,0.00496,0.33124,0.00022,0.9109,0.04634,0.18412,0.05594,0.09331,0.07535,0.35804,0.04116,0.1452,0.00027,0.00027,0.33615,0.47679,0.10561,0.34491,0.07245,0.00023,0.17829
Mytilus_galloprovincialis,Mytilus_edulis,1,1,invertebrate,mollusca,marine,0.01,25,2.980000,3.160000,1.500000,2.282000,-8.432000,3.217000,0.036468,0.029194,0.035948,0.027849,0.037073,0.029353,0.036700,0.028072,-0.145978,0.709382,-0.188157,0.669615,0.055076,0.044879,0.018868,0.040801,0.184401,0.265889,0.346627,3.00E-005,0.0657,0.00022,0.00208,0.0494,0.32472,0.00068,0.00507,0.00064,0.01016,0.00044,0.03366,0.02423,0.48298,0,0,0.91773,0.00092,0.02174,0.60389,0.00721,0.00597,0.02478,0.33548,0,0.98589,0.00107,0.9106,0.01418,0.00143,0.0075,0.05601,0.00052,0.00862,4.00E-005,4.00E-005,0.02483,0.12619,0.09443,0.62481,0.15416,0.00041,0.249
Necora_puberATL,Liocarcinus_depurator,1,1,invertebrate,crustacea,marine,0.155,7,2.656000,3.997000,0.033000,0.207000,-2.598000,11.752000,0.005224,0.008767,0.012385,0.015082,0.005297,0.008802,0.012541,0.015094,-0.073709,0.549867,-0.109030,0.618598,0.225697,0.146316,0.216892,0.143799,0.932617,0.069341,0.231088,0.01792,0.17707,0,3.00E-005,0.00027,0.0022,0.01697,0.23305,0.03029,0.51922,0.00041,5.00E-005,0.00112,0.0014,0,0,0.00548,0.00394,2.00E-005,0.00128,0.35454,0.63804,4.00E-005,0.00214,0,0.00348,0.02646,0.31678,7.00E-005,7.00E-005,0.03879,0.61755,7.00E-005,7.00E-005,7.00E-005,7.00E-005,0.00042,0.0527,2.00E-005,0.94677,5.00E-004,2.00E-005,0.00054
Necora_puberATL,Necora_puberMED,0,0,invertebrate,crustacea,marine,0.18,10,1.577000,1.606000,1.402000,1.729000,-9.000000,0.000000,0.011907,0.010662,0.011894,0.010640,0.012115,0.010765,0.012025,0.010481,-0.170122,0.722422,-0.114043,0.738797,0.012051,0.009608,0.000151,0.002881,0.008218,0.109114,0.565532,0.00589,0.02001,0.01011,0.41106,0.00907,0.05661,0.00749,0.054,0.00467,0.01979,0.01165,0.34421,0.00872,0.03672,0,1.00E-005,0.88816,0.19488,0.14361,0.12341,0.14008,0.15122,0.13095,0.11301,0.00285,0.51383,0.05083,0.02848,0.06873,0.16945,0.40302,0.03539,0.0429,0.19928,0.00124,0.00067,0.48227,0.18255,0.23744,0.40758,0.17036,0.00208,0.40988
Oryctolagus_algirus,Oryctolagus_cuniculus,0.5,1,vertebrate,mammalia,continental,NA,NA,27.800000,38.712000,19.600000,9.834000,-9.000000,0.000000,0.006086,0.003192,0.010067,0.013007,0.008360,0.003170,0.010305,0.009264,-0.790913,0.863665,-0.491218,0.930039,0.010670,0.007902,0.002594,0.003255,0.134728,0.178166,-0.512685,2.00E-005,0.00102,0,0.00601,0.00027,0.22453,7.00E-005,0.00172,0.00011,0.0031,3.00E-005,0.03646,0.00105,0.72561,0,0,0.99396,0.00057,2.00E-004,0.03472,0.00399,0.00574,0.02215,0.93262,0,0.98969,0.0019,0.07781,0.00032,0.08466,0.00164,0.25936,0.00179,0.57187,0.00032,0.00032,0.65928,0.22236,0.02022,0.47295,0.28366,0.00082,0.3047
Ostrea_edulisATLdan,Ostrea_edulisATLfr,0,1,invertebrate,mollusca,marine,0.018,34,1.189000,1.249000,1.242000,1.294000,-9.000000,0.000000,0.013077,0.012792,0.014525,0.010550,0.012993,0.012132,0.014751,0.010428,-0.058830,0.879713,-0.135862,0.802479,0.013854,0.009849,0.000053,0.004144,0.003069,0.139961,0.418413,0.00134,8.00E-005,0.32264,0.02364,0.0158,0.00114,0.00324,9.00E-005,0.0014,0.00011,0.24277,0.01763,0.01683,9.00E-004,0.3362,0.0162,0.99375,0.00168,0.38804,0.01639,0.00281,0.00172,0.29839,0.0168,0.27416,0.99378,0.00014,0.00014,0.0991,0.01058,0.00127,0.00014,0.27838,0.01286,0.43421,0.16318,0.99831,0.00014,0.10508,7.00E-004,0.31328,0.5808,0.99916
Ostrea_edulisATL,Ostrea_edulisMED,0,1,invertebrate,mollusca,marine,0.018,34,1.358000,1.398000,1.232000,1.308000,-9.000000,0.000000,0.012730,0.012557,0.013970,0.009659,0.012579,0.011962,0.014358,0.009865,-0.005683,0.875718,-0.213514,0.803709,0.013451,0.008262,0.000101,0.003385,0.018424,0.139552,0.406645,0.00083,6.00E-005,0.48324,0.01997,0.05099,0.00224,0.00234,0.00012,0.0014,7.00E-005,0.33956,0.01455,0.0411,0.00161,0.04059,0.00133,0.99518,0.00127,0.51313,0.04475,0.00343,0.00247,0.37765,0.0373,0.01999,0.99282,0.00589,0.00262,0.45068,0.04379,0.00089,0.00177,0.34713,0.03126,0.09314,0.02281,0.98881,0.00461,0.40088,0.00118,0.41507,0.17826,0.99421
Ostrea_edulisMED,Ostrea_chilensis,1,1,invertebrate,mollusca,marine,0.0315,34,0.769000,1.320000,0.007000,0.085000,-8.300000,3.516000,0.008036,0.010449,0.005792,0.009195,0.008245,0.010673,0.005704,0.009000,-0.113615,0.612840,0.077936,0.722023,0.074258,0.053258,0.067344,0.052621,0.825664,0.184794,0.126801,0.0172,0.1203,1.00E-005,6.00E-005,0.00116,0.0031,0.13532,0.16672,0.232,0.31999,6.00E-005,0.00023,0.00076,0.00306,1.00E-005,1.00E-005,0.00846,0.03773,3.00E-005,0.00262,0.36512,0.5915,0.00016,0.00284,0,0.00565,0.01295,0.25101,0.00041,0.00041,0.25954,0.47407,0.00041,0.00041,0.00041,0.00041,0.00246,0.1484,0.00012,0.85125,0.00012,0.00012,0.00036
Parus_caeruleusCOR,Parus_caeruleusCON,0,1,vertebrate,sauropsida,continental,11.5,14.6,1.044000,0.993000,0.913000,0.948000,-9.000000,0.000000,0.013575,0.013989,0.013603,0.010535,0.013505,0.014358,0.013752,0.010238,0.033250,0.855303,-0.135132,0.772650,0.014359,0.009124,0.000770,0.003820,0.032871,0.140101,0.106369,0.0111,0.00059,0.46685,0.01946,0.04844,0.00314,0.01245,0.00071,0.00471,0.00046,0.32791,0.01439,0.03898,0.00204,0.04756,0.00119,0.96996,0.00571,0.48755,0.07015,0.01211,0.00484,0.34028,0.05734,0.02203,0.97735,0.00087,0.00141,0.72925,0.03114,0.00304,0.00379,0.19992,0.02544,0.00405,0.0011,0.9909,0.0034,0.75037,0.003,0.23165,0.01158,0.9936
Pectinaria_koreniSUD,Pectinaria_koreniNOR,0,1,invertebrate,annelida,marine,0.0063,1.42,1.000000,1.075000,0.108000,0.359000,-5.277000,7.305000,0.027668,0.023607,0.008685,0.008979,0.028193,0.024889,0.008977,0.009336,-0.122944,0.696535,-0.150685,0.626286,0.080306,0.042799,0.062130,0.041310,0.628251,0.210213,0.320878,0.02419,0.0055,0,0,2.00E-005,2.00E-005,0.48082,0.18877,0.23652,0.06362,1.00E-005,1.00E-005,0.00042,1.00E-004,0,0,0.00058,0.03222,1.00E-005,0.00074,0.59362,0.37199,2.00E-005,0.00139,0,0.00216,0.12705,0.05643,0.00015,0.00015,0.71355,0.10206,0.00015,0.00015,0.00015,0.00015,9.00E-004,0.05912,7.00E-005,0.94068,7.00E-005,7.00E-005,0.00021
Physa_acuta,Physa_gyrina,1,1,invertebrate,mollusca,continental,0.05,1.5,2.600218,3.824429,0.163399,0.489241,0.945534,12.917627,0.030557,0.029727,0.017178,0.021004,0.030692,0.029868,0.016625,0.020533,-0.022461,0.731436,0.289649,0.892632,0.148672,0.096306,0.124805,0.090731,0.750828,0.168962,0.406591,0.00084,0.00746,0,0,1.00E-005,4.00E-005,0.02651,0.77613,0.0166,0.17231,0,0,2.00E-005,9.00E-005,0,0,0.00016,0.00409,0,0.00073,0.23238,0.7622,2.00E-005,0.00057,0,0.00132,0.00171,0.01081,3.00E-005,3.00E-005,0.00987,0.97743,3.00E-005,3.00E-005,3.00E-005,3.00E-005,0.00018,0.01488,4.00E-005,0.98501,4.00E-005,4.00E-005,0.00012
Reticulitermes_grassei,Reticulitermes_flavipes,1,1,invertebrate,insecta,continental,4.75,30,1.103000,1.502000,0.007000,0.084000,-8.491000,2.870000,0.001071,0.002667,0.003328,0.005199,0.001072,0.002599,0.003256,0.004980,-0.014395,0.487847,0.082529,0.797313,0.027076,0.081580,0.024877,0.081629,0.814075,0.207148,0.048305,0.00599,0.04082,0.00012,0.00017,0.04265,0.01362,0.43926,0.08728,0.19572,0.06094,0.00018,0.00043,0.08247,0.03026,4.00E-005,4.00E-005,0.16998,0.00169,1.00E-004,0.00735,0.77388,0.1979,0.00022,0.01885,0,0.02652,0.00026,0.17088,0.00026,0.00026,0.0853,0.74007,0.00026,0.00218,0.00026,0.00026,0.00348,0.01626,0.01711,0.96637,0.00016,9.00E-005,0.01736
rhomboidalis,rubrigularis,1,0,vertebrate,sauropsida,continental,NA,NA,16.000000,8.165000,1.143000,2.035000,-9.000000,0.000000,0.007216,0.007948,0.017920,0.015430,0.006949,0.005456,0.018260,0.007433,-0.170900,0.826391,-0.380409,1.032841,0.017783,0.013212,0.005216,0.003696,0.286569,0.087479,0.917442,0.1006,0.03301,4.00E-005,0.00012,0.00509,0.0038,0.3347,0.10051,0.32552,0.08858,7.00E-005,0.00017,0.00438,0.00342,0,0,0.01709,0.10233,7.00E-005,0.00587,0.4728,0.41421,1.00E-004,0.00463,0,0.01067,0.11595,0.02937,0.00024,0.00021,0.65665,0.19649,6.00E-004,0.00029,1.00E-004,1.00E-004,0.00154,0.08398,0.00036,0.91407,0.00149,9.00E-005,0.00194
Sepia_officinalisBRE,Sepia_officinalisITA,0,1,invertebrate,mollusca,marine,2,2,0.895000,0.994000,0.271000,0.647000,-9.000000,0.000000,0.006418,0.006226,0.004815,0.006153,0.006517,0.006392,0.004787,0.005946,-0.040711,0.837006,-0.034254,0.778734,0.011112,0.008380,0.005496,0.007154,0.309167,0.274679,-0.157935,0.00105,0.00035,0.03433,0.01249,0.50214,0.06249,0.00509,0.00171,0.00078,0.00088,0.01848,0.0093,0.30596,0.04478,5.00E-005,0.00012,0.99014,0.00227,0.06384,0.45813,0.05957,0.01679,0.04936,0.35004,0,0.92137,0.00126,0.02872,0.46272,0.16808,0.01004,0.01555,0.14503,0.16809,0.00025,0.00025,0.94442,0.01868,0.59228,0.14112,0.24731,0.00061,0.8402
Sepia_officinalisSET,Sepia_officinalisBRE,0,1,invertebrate,mollusca,marine,2,2,0.872000,1.155000,0.822000,1.391000,-9.000000,0.000000,0.007421,0.007282,0.006617,0.006620,0.007334,0.007080,0.006786,0.006753,0.091474,0.934676,-0.105257,0.780676,0.010754,0.007904,0.003735,0.006499,0.213888,0.276181,0.376412,0.00372,0.00035,0.13685,0.06619,0.36126,0.04014,0.01583,0.00534,0.00088,0.00084,0.04987,0.03929,0.23306,0.02556,0.00943,0.0114,0.97305,0.00158,0.07438,0.47228,0.02852,0.00431,0.04732,0.37154,6.00E-005,0.96558,0.00022,0.03073,0.22294,0.22026,0.05705,0.28107,0.08555,0.10173,0.00022,0.00022,0.63092,0.01421,0.4622,0.29784,0.18951,0.03623,0.68794
Sepia_officinalisSET,Sepia_officinalisITA,0,1,invertebrate,mollusca,marine,2,2,0.735000,1.000000,0.480000,0.826000,-9.000000,0.000000,0.007527,0.006521,0.004759,0.006268,0.007493,0.006368,0.004767,0.006116,0.047642,0.955322,-0.049030,0.752452,0.008345,0.005936,0.002202,0.004607,0.138141,0.219280,-0.250303,0.00034,7.00E-004,0.47298,0.04201,0.02639,0.01253,0.02051,0.00146,0.00072,0.00091,0.34641,0.04083,0.02178,0.01241,1.00E-005,0,0.97535,0.00106,0.45215,0.04937,0.0545,0.0028,0.38499,0.05512,2.00E-005,0.94165,3.00E-004,0.04659,0.09967,0.11328,0.44766,0.08357,0.09034,0.118,3.00E-004,3.00E-004,0.42189,0.00028,0.4089,0.43475,0.15433,0.00174,0.56497
Thymelicus_sylvestris,Thymelicus_lineola,1,1,invertebrate,insecta,continental,0.0835,1,6.371000,6.634000,0.226000,0.588000,8.839000,15.024000,0.022367,0.020516,0.029002,0.022792,0.022425,0.020537,0.029084,0.022783,-0.021079,0.734717,-0.015798,0.770648,0.195182,0.083778,0.169497,0.079386,0.785170,0.122734,0.189326,0.02856,0.0089,0,0,1.00E-005,2.00E-005,0.25166,0.25909,0.19749,0.25416,1.00E-005,1.00E-005,2.00E-005,6.00E-005,0,0,0.00013,0.05139,0,0.00113,0.29771,0.6464,0.00019,0.00317,0,0.00449,0.07651,0.00127,1.00E-004,1.00E-004,0.67173,0.24989,1.00E-004,1.00E-004,1.00E-004,1.00E-004,6.00E-004,0.05084,7.00E-005,0.94896,7.00E-005,7.00E-005,0.00021
